structure,latency_dg_est,g_osi_dg_est,g_dsi_dg_est,hierarchy_rank
CA2,0.07745577983405383,0.9734966039755437,,
MB,0.08513194688976,0.9586693113020283,,
SUB,0.12511337185787852,0.9746529318128779,,
MGm,0.15634307006064319,0.9758913863377199,,
ProS,0.15830033237944008,0.9735037996277863,,
APN,0.17170924403615118,0.9663479600069784,,
PIL,0.17752547588543166,0.9642293264490278,,
NOT,0.18812359082858165,0.8730218570878617,,
MGv,0.22206228176401055,0.9722530352004554,,
MGd,0.22317833038232493,0.8849123137184776,,
SCig,0.2785150817550175,0.9675232238709074,,0.0
LP,0.28414056105680174,0.9409337291270311,,1.0
POL,0.28491674246947696,0.8545139416275473,,
CA1,0.3020387702649714,0.9642770827983063,,
VISal,0.3324690471622489,0.8600364324041042,,3.0
VISam,0.34324582596968867,0.8604233173769837,,4.0
VISp,0.40145427403285794,0.8150999345915904,,2.0
VISpm,0.42790820864502166,0.8637316561844864,,4.0
VISl,0.4557019938954454,0.896696401379405,,3.0
VISrl,0.47637100676786304,0.8580886191735134,,3.0
CA3,0.6216469031389806,0.9497529721315383,,
DG,0.7707729465217881,0.9422370648459613,,
